"統計期","市立美術館參觀人次","市立動物園參觀人次","市立兒童新樂園入園人次","市立天文科學教育館參觀人次","士林官邸公園參觀人次","臺北自來水園區參觀人次","北投溫泉博物館參觀人次","台北探索館參觀人次","藍色水路載客人次"
"102年 7月",21476,248647,84973,78299,89000,154981,33724,26124,3769
"102年 8月",44209,274368,135970,88123,68000,125820,42358,22757,11313
"102年 9月",29244,232015,69208,59834,71000,66307,53084,14860,9737
"102年 10月",37955,341164,72532,48239,75000,86149,47226,16595,9690
"102年 11月",38532,343537,81804,54538,431720,108169,55241,40107,14077
"102年 12月",45416,232810,46142,53374,135080,80298,50133,38171,12647
"103年 1月",32659,530144,84639,28884,103000,92460,38943,23197,7849
"103年 2月",48700,579043,99639,34346,100705,95463,34459,15105,8239
"103年 3月",37686,396332,67986,49361,170500,80711,41525,28981,6434
"103年 4月",37302,420678,117872,79927,126550,81701,42657,15373,6071
"103年 5月",29328,271865,60571,44494,112980,92433,45627,25250,7653
"103年 6月",29154,250283,50388,44175,109300,132084,39607,26496,6744
"103年 7月",34821,287686,54091,79982,99650,206878,43671,22154,5586
"103年 8月",38715,338089,69506,92422,115600,196364,53331,24848,7383
"103年 9月",31443,213101,44778,57600,109500,111182,41106,11384,6439
"103年 10月",58068,387232,73125,65269,120400,79662,61121,15553,9121
"103年 11月",60689,329910,71656,53060,525772,68741,60856,26796,9808
"103年 12月",56789,217720,39597,50162,121700,76508,37107,24554,6105
"104年 1月",50671,358036,362954,51461,98370,96966,54643,27521,6318
"104年 2月",39885,412814,349227,52927,102600,80372,46748,13201,7047
"104年 3月",49621,246511,167092,44921,89550,88519,48226,16138,6235
"104年 4月",69926,285591,200569,41849,121730,83522,55369,24758,7126
"104年 5月",56560,210910,131670,40201,104255,96582,42824,33338,8154
"104年 6月",54666,158868,123592,30017,93340,156521,32791,29095,6103
"104年 7月",62497,233082,268983,45596,116545,186028,38702,48366,5068
"104年 8月",51992,210647,220502,53513,87130,134900,39188,25416,2095
"104年 9月",38738,231853,119631,37716,102310,117045,38506,10785,4831
"104年 10月",52623,334176,166443,44757,121610,97896,56993,33594,5176
"104年 11月",49804,360836,149017,39778,540820,73450,51555,39119,8045
"104年 12月",51150,258103,121647,41784,113750,82820,28510,38794,4968
"105年 1月",45301,231720,135353,28075,170784,63087,48000,27213,4303
"105年 2月",45712,401490,219036,28519,342850,100736,36411,10264,6464
"105年 3月",51530,212224,98073,40994,94350,80102,35908,19596,7443
"105年 4月",89617,323488,171553,44502,108055,103492,35548,22922,7024
"105年 5月",66482,230546,124359,34482,101365,116381,33073,20259,12900
"105年 6月",58703,187452,121961,27234,87740,131813,25054,16434,7609
"105年 7月",68457,223921,207688,42535,108775,154447,32714,20835,6126
"105年 8月",60446,262136,226747,46594,102610,130277,33584,17698,9000
"105年 9月",43701,201511,99871,33750,52800,81669,25989,7416,5920
"105年 10月",58239,313289,148663,32180,59940,84074,41738,11952,11575
"105年 11月",45008,310698,137031,39500,131575,81514,42059,13171,12320
"105年 12月",48946,337589,188867,41163,616011,89122,49833,10164,8644
"106年 1月",35235,344903,206880,34722,216828,81780,36469,14877,3447
"106年 2月",41676,295856,221263,41336,208100,78068,35987,17444,2007
"106年 3月",29819,225943,129467,51339,209719,108875,35242,14798,3888
"106年 4月",48177,366508,226994,54151,208927,97612,38886,25005,8071
"106年 5月",46748,263218,181771,38541,157575,96702,31803,22115,8664
"106年 6月",44300,132481,100985,30716,124840,108691,24905,24933,8450
"106年 7月",69949,199448,211972,63541,126797,185805,29117,29650,6024
"106年 8月",71639,217607,242799,81772,132630,175164,32176,38664,7378
"106年 9月",52168,174479,113898,52149,117610,90346,2668,12470,7911
"106年 10月",25756,289777,160784,58381,166287,89991,0,17230,7041
"106年 11月",24684,250807,131350,44315,323587,71851,0,20098,5837
"106年 12月",20444,286927,172422,51477,488364,92873,0,17044,4369
"107年 1月",16013,247859,147262,41274,143171,71909,0,19706,2751
"107年 2月",12707,320457,202301,56436,578983,85613,0,14066,3555
"107年 3月",15814,328524,159282,88474,215449,88116,0,10888,6362
"107年 4月",1091,365104,229796,75015,349367,97966,0,10035,8552
"107年 5月",0,219881,138925,63142,141021,109863,0,11595,9668
"107年 6月",8322,195516,149938,56182,105290,132261,0,12728,9714
"107年 7月",30784,259374,225838,100667,103030,159412,0,19408,9221
"107年 8月",37802,236031,223009,118119,116805,128959,0,27802,9188
"107年 9月",35185,193774,124169,88066,75227,85185,0,24874,12314
"107年 10月",42358,302296,160701,51323,133995,85463,5571,29790,11538
"107年 11月",36532,290945,141012,51090,126339,78441,39131,29440,7309
"107年 12月",47848,292697,177221,56324,715807,93099,40454,32869,6006
"108年 1月",48208,244659,179866,46631,139202,65436,37415,29386,3790
"108年 2月",42015,362155,203017,54953,525045,77522,25183,18645,3865
"108年 3月",41689,298585,157292,94230,256043,81877,30615,14216,3555
"108年 4月",32279,321794,209965,81411,381400,102948,28633,9868,5287
"108年 5月",35872,216501,113278,57611,166076,115365,30010,15340,7725
"108年 6月",38124,151763,141815,57474,108956,153826,28274,15143,10722
"108年 7月",43477,294727,205950,106838,90077,162691,30907,17774,9544
"108年 8月",59930,306063,226728,112152,94659,137123,31433,19330,7767
"108年 9月",47558,201374,102294,81632,60445,93924,43952,16318,10799
"108年 10月",48547,382891,183178,77255,112863,114759,42903,22672,10912
"108年 11月",39836,345189,151861,51425,468831,100911,43298,30299,10662
"108年 12月",43354,308949,177170,57874,411415,139645,43945,22489,7845
"109年 1月",39207,292747,179279,46608,146491,75825,32560,14367,4454
"109年 2月",35556,223683,129155,26497,404081,83016,24135,9542,2203
"109年 3月",27370,129839,41216,15290,58466,68035,10969,1095,1689
"109年 4月",20572,109072,38305,10652,40687,71028,6520,628,1060
"109年 5月",37308,134707,68711,36339,32224,93172,9630,2450,2065
"109年 6月",67915,135606,146954,80345,23615,165010,9499,5280,4404
"109年 7月",58297,185815,202612,87576,26305,195881,13276,12461,6418
"109年 8月",53478,233016,220331,87540,33413,206577,18220,43843,11914
"109年 9月",33168,150249,75443,60693,26896,104634,18296,24405,10396
"109年 10月",41334,297361,160552,67394,76343,110550,25466,29804,12263
"109年 11月",24529,239111,113242,49490,350827,107381,20893,21792,10360
"109年 12月",39423,174917,83933,49912,378892,148567,25342,24445,7967
"110年 1月",40411,218062,113812,42440,101987,85463,25103,28295,3609
"110年 2月",33437,292531,157701,42754,407032,89022,19431,14273,3912
"110年 3月",30771,202395,104157,52853,352623,72343,16858,5257,4976
"110年 4月",25236,262885,156444,63111,110612,77857,17611,5774,6579
"110年 5月",34650,74900,39592,15545,29471,45093,5866,1948,2696
"110年 6月",0,0,0,0,9553,2932,0,0,0
"110年 7月",10256,0,0,0,11801,5527,209,0,0
"110年 8月",26658,90490,42933,13740,19613,11643,1248,1582,492
"110年 9月",39661,78107,36838,16134,15698,13143,2826,10616,1332
"110年 10月",53875,143080,70285,41673,30449,23070,15745,21904,3669
"110年 11月",29707,203732,86657,50453,193675,26277,22208,25742,5986
"110年 12月",23932,206571,102330,51118,282279,23994,22479,17571,7692
"111年 1月",22994,139117,64911,22734,72236,16226,14227,3035,4364
"111年 2月",23624,181925,105323,46084,312150,18277,11542,2131,2502
"111年 3月",25107,208918,102509,52713,129800,21371,14694,4578,5768
"111年 4月",23991,131425,62184,29826,47100,18245,9998,2200,3867
"111年 5月",20700,70134,21089,13964,25831,12008,5547,1316,1554
"111年 6月",34214,69530,57707,29796,32269,13272,7924,2881,3064
"111年 7月",54177,178160,173043,90796,28581,64949,18030,26494,6746
"111年 8月",39088,176746,212998,93098,25503,53535,19679,35602,7204
"111年 9月",27611,134202,72424,62859,34569,18132,12731,15758,7150
"111年 10月",38191,166228,144611,93291,63339,24464,18246,21464,7440
"111年 11月",37153,255469,125396,58975,252707,24301,23191,18033,5469
"111年 12月",37862,198490,124447,77454,207083,36084,30292,12402,5631
"112年 1月",34949,359202,235364,67956,59497,26354,28360,5045,3114
"112年 2月",46224,296503,190689,68139,285034,27513,31478,9137,4030
"112年 3月",59945,257003,122575,59784,144350,29616,29821,7236,4027
"112年 4月",68624,348355,209907,86487,88389,36844,34133,9618,6418
"112年 5月",59127,194447,111142,63859,74474,35368,26054,8614,6807
"112年 6月",47827,137238,132822,75457,52744,67400,24272,29825,7240
"112年 7月",53245,206118,207548,129397,23613,107203,27183,45385,9555
"112年 8月",50011,220185,219898,155236,38917,63383,27437,36737,8511
"112年 9月",42360,159179,106843,110048,38243,31885,24938,18911,6203
"112年 10月",47106,269414,149349,101753,71758,37977,32589,24357,7298
"112年 11月",43029,253494,119951,87516,311826,38053,38414,21762,7221
"112年 12月",51052,333739,175030,92777,517551,50810,43905,17073,6152
"113年 1月",40813,216743,164597,67094,627379,28738,40451,10320,3794
"113年 2月",36972,321728,240331,72821,771583,27527,31132,8771,3859
"113年 3月",45584,284372,137054,89553,313424,28692,38337,13428,4426
"113年 4月",44267,247970,183238,101018,153204,30983,32383,14269,4781
"113年 5月",53124,192804,129451,92721,125394,41258,29062,11878,7726
"113年 6月",51224,118424,135328,97999,51584,78470,24190,17042,9453
"113年 7月",44988,168803,207787,125693,49201,98902,22551,48733,8177
"113年 8月",54032,211940,262261,158801,49288,91635,25729,45702,7433
"113年 9月",35345,139665,78570,97689,45484,58659,22113,24151,6193
"113年 10月",58173,231897,139023,71637,43404,29592,30158,22956,7023

